,extracted_comments,comments_date,translated_comments
887,Yog amg ya,2022-06-12 18:54:50,Yog amg ya
888,Tokyo op!!!,2022-06-12 18:54:50,Tokyo op!!!
889,Hii,2022-07-12 18:54:50,Hii
890,🤣,2022-09-10 18:54:50,🤣
891,✊,2022-07-12 18:54:50,✊
892,ماشاءالله اسطورة ,2022-07-12 18:54:50,ماشاءالله اسطورة 
893,Jeeeez,2022-09-10 18:54:50,Jeeeez
894,Efirr efirr,2022-06-12 18:54:50,Efirr efirr
895,You talking a lot ,2022-08-11 18:54:50,You talking a lot 
896,🤩,2022-07-12 18:54:50,🤩
897,Así como hack en free fire jajaa igual el aimbot para dispRo,2022-07-12 18:54:50,Así como hack en free fire jajaa igual el aimbot para dispRo
898,😂,2022-07-12 18:54:50,😂
899,Nau nau,2022-06-12 18:54:50,Nau nau
900,Por decir maldiciones le pongo no me gusta,2022-07-12 18:54:50,Por decir maldiciones le pongo no me gusta
901,Hi bro ,2022-07-12 18:54:50,Hi bro 
902,İngilizce yakışmıyor sana,2022-06-12 18:54:50,İngilizce yakışmıyor sana
903,You Deepanchou jr ,2022-06-12 18:54:50,You Deepanchou jr 
904,Good wow mantap,2022-06-12 18:54:50,Good wow mantap
905,BROOOOOOOO,2022-07-12 18:54:50,BROOOOOOOO
906,Ur noob,2022-06-12 18:54:50,Ur noob
907,op,2022-06-12 18:54:50,op
908,tokyo OP,2022-06-12 18:54:50,tokyo OP
909,Trovo: ,2022-06-12 18:54:50,Trovo: 
910,Tokyo is one of the best team-deleting players I've ever seen,2022-06-12 18:54:50,Tokyo is one of the best team-deleting players I've ever seen
911,Not only that you are the most underrated but also amongst the best player of CODM BR Community,2022-06-12 18:54:50,Not only that you are the most underrated but also amongst the best player of CODM BR Community
912,1:24,2022-07-12 18:54:50,1:24
913,"I watched many streamers but I think you’re number 1 in the world. Nowadays 40 kills is top , players have become better and they go around together always , 1vs squads ain’t easy anymore",2022-06-12 18:54:50,"I watched many streamers but I think you’re number 1 in the world. Nowadays 40 kills is top , players have become better and they go around together always , 1vs squads ain’t easy anymore"
914,Daddy Tokyo never disappoints with these banger clips,2022-06-12 18:54:50,Daddy Tokyo never disappoints with these banger clips
915,This man gameplay is so freaking funny plus OP what more could one want GG new sub here,2022-06-12 18:54:50,This man gameplay is so freaking funny plus OP what more could one want GG new sub here
916,Ve ayrıca ALLAH her elini attın işte istediğin sonucu almayı istediğin mevkiye gelmeyi nasipetsin inşallah gerçek ten seni izlerken kafam rahatlıyo inşallah seni daha iyi yerlerde görücemiz  zamanlarda bir an önce gelir iyi oyunlar herdaim başarılar kardeşim,2022-06-12 18:54:50,Ve ayrıca ALLAH her elini attın işte istediğin sonucu almayı istediğin mevkiye gelmeyi nasipetsin inşallah gerçek ten seni izlerken kafam rahatlıyo inşallah seni daha iyi yerlerde görücemiz  zamanlarda bir an önce gelir iyi oyunlar herdaim başarılar kardeşim
917,Çoğunlukla 27-33 bandında kill alıyordun şu an 40 bile alıyorsun. Helal olsun Tokyooooo,2022-06-12 18:54:50,Çoğunlukla 27-33 bandında kill alıyordun şu an 40 bile alıyorsun. Helal olsun Tokyooooo
918,Tokyo edits are getting crazy `Uwu’ ,2022-06-12 18:54:50,Tokyo edits are getting crazy `Uwu’ 
919,my 5th time rewatching this particular clip and i just discovered your channel ,2022-08-11 18:54:50,my 5th time rewatching this particular clip and i just discovered your channel 
920,Insane gameplay,2022-06-12 18:54:50,Insane gameplay
921,unas de la mejores partidas de call of duty que vi o hasta el momento el unico el que mas me impresiono me suscribo y dejo mi me gusta buen video,2022-07-12 18:54:50,unas de la mejores partidas de call of duty que vi o hasta el momento el unico el que mas me impresiono me suscribo y dejo mi me gusta buen video
922,Killing Machine ,2022-07-12 18:54:50,Killing Machine 
923,Awesome video Tokyo I hope I can play with you one day ,2022-06-12 18:54:50,Awesome video Tokyo I hope I can play with you one day 
924,Insane gameplay..,2022-06-12 18:54:50,Insane gameplay..
925,"You are a very good player , but you know your enemies were a little newbie but your movements and shuts were amazing",2022-07-12 18:54:50,"You are a very good player , but you know your enemies were a little newbie but your movements and shuts were amazing"
926,Yapıyorsun bu işi be kardeşim yaparım dedinve yine yaptın ellerine sağlık video için teşekkürler,2022-06-12 18:54:50,Yapıyorsun bu işi be kardeşim yaparım dedinve yine yaptın ellerine sağlık video için teşekkürler
927,"You're Narco's best player , he said your gameplay was sick I agree You're sick bro",2022-07-12 18:54:50,"You're Narco's best player , he said your gameplay was sick I agree You're sick bro"
928,damm,2022-06-12 18:54:50,damm
929,Helalin var kardeşim bu oyun senin için çıkmış resmen kanka eline sağlık ,2022-06-12 18:54:50,Helalin var kardeşim bu oyun senin için çıkmış resmen kanka eline sağlık 
930,Emudakinden daha kaliteli oyun karşımızda işte azim vazgeçmemek bu. Tbrk ederim berk,2022-07-12 18:54:50,Emudakinden daha kaliteli oyun karşımızda işte azim vazgeçmemek bu. Tbrk ederim berk
931,Ese final ,2022-06-12 18:54:50,Ese final 
932,Glad I found your channel I learn from everyone's clips ggs again,2022-06-12 18:54:50,Glad I found your channel I learn from everyone's clips ggs again
933,"Besides Tokyo’s gameplay, has someone noticed his amazing tste in music? Like NF omg.",2022-09-10 18:54:50,"Besides Tokyo’s gameplay, has someone noticed his amazing tste in music? Like NF omg."
934,fire as always akam ,2022-06-12 18:54:50,fire as always akam 
935,High respect ,2022-06-12 18:54:50,High respect 
936,I heard this guy had some good gameplay but that’s some mad skill with that HSO (New Sub),2022-09-10 18:54:50,I heard this guy had some good gameplay but that’s some mad skill with that HSO (New Sub)
937,Bro you are so under rated,2022-06-12 18:54:50,Bro you are so under rated
938,Gran vídeo. ,2022-09-10 18:54:50,Gran vídeo. 
939,my dude is a killing machine.,2022-06-12 18:54:50,my dude is a killing machine.
940,Great as always ,2022-06-12 18:54:50,Great as always 
941,This guy is total vibe when he was trying to kill the platform pumped guy,2022-06-12 18:54:50,This guy is total vibe when he was trying to kill the platform pumped guy
942,Well played bro,2022-06-12 18:54:50,Well played bro
943,Insane brow! ,2022-07-12 18:54:50,Insane brow! 
944,Ggs bro you are on top ,2022-06-12 18:54:50,Ggs bro you are on top 
945,The music and gameplay are both amazing,2022-06-12 18:54:50,The music and gameplay are both amazing
946,Narco talk about you bro … you’re freaking good ,2022-08-11 18:54:50,Narco talk about you bro … you’re freaking good 
947,9:00,2022-07-12 18:54:50,9:00
948,"Tokyo that shit was amazing, you are the ads king hands down....GG bro",2022-06-12 18:54:50,"Tokyo that shit was amazing, you are the ads king hands down....GG bro"
949,Me: blinks,2022-06-12 18:54:50,Me: blinks
950,Please keep up the good work,2022-06-12 18:54:50,Please keep up the good work
951,I think because of the music bro. ,2022-06-12 18:54:50,I think because of the music bro. 
952,Yo that's amazing bro... you got a new sub,2022-06-12 18:54:50,Yo that's amazing bro... you got a new sub
953,Seriously... How do you manage to play like that? ,2022-07-12 18:54:50,Seriously... How do you manage to play like that? 
954,bro you're amazing I've never seen you play here you have one more follower I know it's not a big deal but I won't stop giving my like,2022-07-12 18:54:50,bro you're amazing I've never seen you play here you have one more follower I know it's not a big deal but I won't stop giving my like
955,FIRE GAME BRO! Well done ,2022-07-12 18:54:50,FIRE GAME BRO! Well done 
956,That was fire....,2022-07-12 18:54:50,That was fire....
957,Yesterday i watch this match in your live ggs man you are the best,2022-06-12 18:54:50,Yesterday i watch this match in your live ggs man you are the best
958,Final fights ,2022-06-12 18:54:50,Final fights 
959,You're good. New subscriber here,2022-07-12 18:54:50,You're good. New subscriber here
960,"Yoh bro, can you do one video for you and LagYT playing duo vs squad on a private lobby?",2022-06-12 18:54:50,"Yoh bro, can you do one video for you and LagYT playing duo vs squad on a private lobby?"
961,Just found another GOD just subbed with bell and smashed that like ,2022-08-11 18:54:50,Just found another GOD just subbed with bell and smashed that like 
962,Bro Tokyo is fast asf ,2022-09-10 18:54:50,Bro Tokyo is fast asf 
963,"""help me step bro Im stuck"" xD thats why I enjoy ur streams",2022-09-10 18:54:50,"""help me step bro Im stuck"" xD thats why I enjoy ur streams"
964,Great video my bro,2022-06-12 18:54:50,Great video my bro
965,Wow!!!!! You are an amazing players!!!,2022-06-12 18:54:50,Wow!!!!! You are an amazing players!!!
966,GGs bro new sub ,2022-06-12 18:54:50,GGs bro new sub 
967,:_kral:,2022-06-12 18:54:50,:_kral:
968,Helal kanka efsane olmuş ,2022-06-12 18:54:50,Helal kanka efsane olmuş 
969,Bro I'm playing on phone it's kinda hard I don't choke but even when I'm playing at my best I just idk it doesn't result to anything idk what should I focus on sometimes the hud doesn't work and sometimes the fov  seems kinda off the device gets laggy that's understandable but what should I be focusing on.big fan Tokyo,2022-06-12 18:54:50,Bro I'm playing on phone it's kinda hard I don't choke but even when I'm playing at my best I just idk it doesn't result to anything idk what should I focus on sometimes the hud doesn't work and sometimes the fov  seems kinda off the device gets laggy that's understandable but what should I be focusing on.big fan Tokyo
970,Perfect ,2022-06-12 18:54:50,Perfect 
971,I play on 90ms ping so shotgun registration is hard... I always watch ur videos to dream big ,2022-06-12 18:54:50,I play on 90ms ping so shotgun registration is hard... I always watch ur videos to dream big 
972,this is my first day watching your videos just i enjoyed ggs,2022-07-12 18:54:50,this is my first day watching your videos just i enjoyed ggs
973,Tokyo çıtayı öyle bı yere çıkardın ki kendi oynadigim oyun artık beni tatmin ,2022-06-12 18:54:50,Tokyo çıtayı öyle bı yere çıkardın ki kendi oynadigim oyun artık beni tatmin 
974,Shotgun play is insane!!!!,2022-06-12 18:54:50,Shotgun play is insane!!!!
975,Damn you play way too smooth,2022-06-12 18:54:50,Damn you play way too smooth
976,12:12,2022-10-19 18:54:50,12:12
977,Hello Tokyo lezzgooo,2022-06-12 18:54:50,Hello Tokyo lezzgooo
978,"Du bist echt gut, ich frag mich wann wurde ich im dieser leben so spielen wie du. Geil man ",2022-07-12 18:54:50,"Du bist echt gut, ich frag mich wann wurde ich im dieser leben so spielen wie du. Geil man "
979,Tokyo is too cracked,2022-06-12 18:54:50,Tokyo is too cracked
980,Nice gameplay ,2022-06-12 18:54:50,Nice gameplay 
981,Joga muito ,2022-07-12 18:54:50,Joga muito 
982,"Bro, you can go for the record",2022-06-12 18:54:50,"Bro, you can go for the record"
983,The accent makes him even funnier,2022-08-11 18:54:50,The accent makes him even funnier
984,bro furry klanindan slm 10 numarasın tam destek devamm ke,2022-06-12 18:54:50,bro furry klanindan slm 10 numarasın tam destek devamm ke
985,Bro love the Shiloh music goes well with the tempo,2022-06-12 18:54:50,Bro love the Shiloh music goes well with the tempo
986,Intense bro,2022-07-12 18:54:50,Intense bro
987,42 kills exactly....damnnnn,2022-07-12 18:54:50,42 kills exactly....damnnnn
988,Question...,2022-07-12 18:54:50,Question...
989,gg ,2022-06-12 18:54:50,gg 
990,My highest is like 21 kills. Aiming for 30 before.,2022-06-12 18:54:50,My highest is like 21 kills. Aiming for 30 before.
991,"Sir, yesterday i watched ur video and i become ur fan sir.... ",2022-09-10 18:54:50,"Sir, yesterday i watched ur video and i become ur fan sir.... "
992,Dude your insane ,2022-06-12 18:54:50,Dude your insane 
993,Super ,2022-06-12 18:54:50,Super 
994,gg wp bro.  Nice aim,2022-08-11 18:54:50,gg wp bro.  Nice aim
995,Kanka mitik fennecte 4. Seviyedeki uzun namlu 8. Seviyede aldığından dahamı kalın oluyor görüntü olarak,2022-06-12 18:54:50,Kanka mitik fennecte 4. Seviyedeki uzun namlu 8. Seviyede aldığından dahamı kalın oluyor görüntü olarak
996,9:00,2022-06-12 18:54:50,9:00
997,You are the Best bro ,2022-06-12 18:54:50,You are the Best bro 
998,Nice game!,2022-07-12 18:54:50,Nice game!
999,Gg brooo,2022-06-12 18:54:50,Gg brooo
1000,Harikasın arkadaşım baypas tan sevgilerle,2022-10-10 18:54:50,Harikasın arkadaşım baypas tan sevgilerle
1001,🔥,2022-06-12 18:54:50,🔥
1002,Insane,2022-06-12 18:54:50,Insane
1003,Much love man ,2022-07-12 18:54:50,Much love man 
1004,Kim ne derse desin aga sen bu iste en iyisisin sadece bu vidyo ya bakarak demiyorum uzun zamandir takip ediyorum daha iyisini gormedim,2022-07-12 18:54:50,Kim ne derse desin aga sen bu iste en iyisisin sadece bu vidyo ya bakarak demiyorum uzun zamandir takip ediyorum daha iyisini gormedim
1005,"Смешно смотреть как ты играешь на легендарном и как у тебя противники как роботы играют, не стреляют по тебе, в то время когда сам играю на легендарном и у меня враги очень опасные не то что у тебя на видео",2022-06-12 18:54:50,"Смешно смотреть как ты играешь на легендарном и как у тебя противники как роботы играют, не стреляют по тебе, в то время когда сам играю на легендарном и у меня враги очень опасные не то что у тебя на видео"
1006,That’s tuff ,2022-06-12 18:54:50,That’s tuff 
1007,Crazy edit there,2022-06-12 18:54:50,Crazy edit there
1008,Bro we meet in isolated at farm ,2022-06-12 18:54:50,Bro we meet in isolated at farm 
1009,The squirrel is what gets me ,2022-06-12 18:54:50,The squirrel is what gets me 
1010,Can anyone tell how he kills enemies so fast,2022-06-12 18:54:50,Can anyone tell how he kills enemies so fast
1011,"Nice game bro,, ",2022-06-12 18:54:50,"Nice game bro,, "
1012,you the best bro ,2022-07-12 18:54:50,you the best bro 
1013,What’s the third song ? Great video ! Earned yourself a new sub and like,2022-07-12 18:54:50,What’s the third song ? Great video ! Earned yourself a new sub and like
1014,PARKER = BEST RECORD,2022-08-11 18:54:50,PARKER = BEST RECORD
1015,Nice ,2022-06-12 18:54:50,Nice 
1016,Damn bro you are insane,2022-07-12 18:54:50,Damn bro you are insane
1017,Woooow,2022-06-12 18:54:50,Woooow
1018,Liked it ,2022-06-12 18:54:50,Liked it 
1019,Beast,2022-06-12 18:54:50,Beast
1020,4:06,2022-08-11 18:54:50,4:06
1021,Daaamnn good,2022-07-12 18:54:50,Daaamnn good
1022,40bomb with hso,2022-06-12 18:54:50,40bomb with hso
1023,3:55,2022-07-12 18:54:50,3:55
1024,😂,2022-06-12 18:54:50,😂
1025,U deserve more subs,2022-08-11 18:54:50,U deserve more subs
1026,Bro am subscribing now ,2022-07-12 18:54:50,Bro am subscribing now 
1027,"You are so good man, ",2022-10-26 18:54:50,"You are so good man, "
1028,Nerelerdesin be Berk,2022-06-12 18:54:50,Nerelerdesin be Berk
1029,Funny gameplay ) tell me name of ur editor )),2022-06-12 18:54:50,Funny gameplay ) tell me name of ur editor ))
1030,GG,2022-06-12 18:54:50,GG
1031,Teke tek maç yapalım ,2022-06-12 18:54:50,Teke tek maç yapalım 
1032,Gg bro tchko tchiko ,2022-06-12 18:54:50,Gg bro tchko tchiko 
1033,Tokyooo luv you bro,2022-06-12 18:54:50,Tokyooo luv you bro
1034,How do you move so fast that’s crazy,2022-07-12 18:54:50,How do you move so fast that’s crazy
1035,Good game!,2022-07-12 18:54:50,Good game!
1036,Tokyo şu hs nin aparatlarını bi at bana bro.,2022-06-12 18:54:50,Tokyo şu hs nin aparatlarını bi at bana bro.
1037,Brucle senin kimi olamaz xaxa sen harikasin kanka,2022-06-12 18:54:50,Brucle senin kimi olamaz xaxa sen harikasin kanka
1038,Top 1 player ggs,2022-06-12 18:54:50,Top 1 player ggs
1039,Nice you legend,2022-06-12 18:54:50,Nice you legend
1040,Show ur sensitivity setting,2022-08-11 18:54:50,Show ur sensitivity setting
1041,Love you man,2022-06-12 18:54:50,Love you man
1042,I subscribed ASAP ,2022-06-12 18:54:50,I subscribed ASAP 
1043,Tokyo stuck in the dryer lol too much Hub,2022-06-12 18:54:50,Tokyo stuck in the dryer lol too much Hub
1044,High level skill,2022-07-12 18:54:50,High level skill
1045,En iyi oyuncu ama maalesef takipçisi ve beğenisi az .,2022-06-12 18:54:50,En iyi oyuncu ama maalesef takipçisi ve beğenisi az .
1046,Help me step brother i am stuck ,2022-06-12 18:54:50,Help me step brother i am stuck 
1047,Gg bro great video,2022-09-10 18:54:50,Gg bro great video
1048,The beat on ,2022-06-12 18:54:50,The beat on 
1049,legend,2022-07-12 18:54:50,legend
1050,Gg bro,2022-06-12 18:54:50,Gg bro
1051,50 is the current record right ???,2022-06-12 18:54:50,50 is the current record right ???
1052,Tekrar izledim yayindaa izlemiwdim,2022-06-12 18:54:50,Tekrar izledim yayindaa izlemiwdim
1053,Eaaaaaasy ,2022-06-12 18:54:50,Eaaaaaasy 
1054,Niceeeee,2022-06-12 18:54:50,Niceeeee
1055,9:20,2022-08-11 18:54:50,9:20
1056,how bypass are you using ????,2022-07-12 18:54:50,how bypass are you using ????
1057,Dikkat ettimde hic profesyonel takimlara denk gelmiyorsun:) ama ginede iyisin bu iste:),2022-08-11 18:54:50,Dikkat ettimde hic profesyonel takimlara denk gelmiyorsun:) ama ginede iyisin bu iste:)
1058,Nice Tokyo,2022-06-12 18:54:50,Nice Tokyo
1059,Would have been 42 .. 2 kills got stolen,2022-06-12 18:54:50,Would have been 42 .. 2 kills got stolen
1060,Sensitivity is gyro on??,2022-08-11 18:54:50,Sensitivity is gyro on??
1061,You have a sub from me bro,2022-07-12 18:54:50,You have a sub from me bro
1062,FOV Third person,2022-07-12 18:54:50,FOV Third person
1063,i hope u match up with the tokyo of philippines to see whos better,2022-08-11 18:54:50,i hope u match up with the tokyo of philippines to see whos better
1064,Woow bro GG ,2022-07-12 18:54:50,Woow bro GG 
1065,Canlı yayın yapmıyorsun tokyo özlettin kendini,2022-06-12 18:54:50,Canlı yayın yapmıyorsun tokyo özlettin kendini
1066,es mi parecer o en la partida no se vio gente de casi nivel ps no se vi que los jugadores no tenian buenos movimientos,2022-07-12 18:54:50,es mi parecer o en la partida no se vio gente de casi nivel ps no se vi que los jugadores no tenian buenos movimientos
1067,1/26.. at the end of the video.. which means there were 74 bots in the server lol,2022-10-10 18:54:50,1/26.. at the end of the video.. which means there were 74 bots in the server lol
1068,"So I play br but I don’t move like that , is it important",2022-09-10 18:54:50,"So I play br but I don’t move like that , is it important"
1069,Step bro got good aim u have the best videos ever i hope u get 1million subscribers,2022-06-12 18:54:50,Step bro got good aim u have the best videos ever i hope u get 1million subscribers
1070,Adamsın Berk helal olsun,2022-06-12 18:54:50,Adamsın Berk helal olsun
1071,"This is probably only me but still ""HIS CONTENT IS SIMILAR TO LOTEX""",2022-06-12 18:54:50,"This is probably only me but still ""HIS CONTENT IS SIMILAR TO LOTEX"""
1072,Çok rahat çok profosyonel ...,2022-06-12 18:54:50,Çok rahat çok profosyonel ...
1073,Killing machine,2022-06-12 18:54:50,Killing machine
1074,Bro has 39 kill say 40 i love you hahaha,2022-06-12 18:54:50,Bro has 39 kill say 40 i love you hahaha
1075,"Nice Bro,, bery good player,,,hahha,are you Japanese  oy?",2022-07-12 18:54:50,"Nice Bro,, bery good player,,,hahha,are you Japanese  oy?"
1076,Canlı izledim bir de buradan izleyeyim:)),2022-06-12 18:54:50,Canlı izledim bir de buradan izleyeyim:))
1077,Ulan berk konusmalarin icinde izliyoduk ingilizceye gecmissin kanka bu bizi aşar,2022-07-12 18:54:50,Ulan berk konusmalarin icinde izliyoduk ingilizceye gecmissin kanka bu bizi aşar
1078,How many fingers does he play?,2022-08-11 18:54:50,How many fingers does he play?
1079,Two kills been stollen xd ,2022-06-12 18:54:50,Two kills been stollen xd 
1080,Rakiperr::Mumkunsee bi dahaa gorusmeyelim kardeeeees,2022-06-12 18:54:50,Rakiperr::Mumkunsee bi dahaa gorusmeyelim kardeeeees
1081,Pls Tokyo only day new vidéo pls,2022-06-12 18:54:50,Pls Tokyo only day new vidéo pls
1082,XD,2022-06-12 18:54:50,XD
1083,Jiggle jiggle ,2022-06-12 18:54:50,Jiggle jiggle 
1084,I Love Tokyo,2022-06-12 18:54:50,I Love Tokyo
1085,Hello sir I'm your Begg fen sir sensitive,2022-07-12 18:54:50,Hello sir I'm your Begg fen sir sensitive
1086,All this guy make you say is omg omg ,2022-07-12 18:54:50,All this guy make you say is omg omg 
1087,i thought its 4K Tokyo,2022-09-10 18:54:50,i thought its 4K Tokyo
1088,HS LOADOUT PLS,2022-06-12 18:54:50,HS LOADOUT PLS
1089,POMPALI KULLANMADA 1 NUMARALI ADAM BENCE,2022-06-12 18:54:50,POMPALI KULLANMADA 1 NUMARALI ADAM BENCE
1090,Ooo bro very nice very good respeckt ,2022-06-12 18:54:50,Ooo bro very nice very good respeckt 
1091,No one play like lotex in the world ggs tokyo you are good player,2022-07-12 18:54:50,No one play like lotex in the world ggs tokyo you are good player
1092,9:22,2022-06-12 18:54:50,9:22
1093,Best player,2022-06-12 18:54:50,Best player
1094,What the name of the song at the end bro?,2022-07-12 18:54:50,What the name of the song at the end bro?
1095,Nice bro ,2022-07-12 18:54:50,Nice bro 
1096,best smg player,2022-06-12 18:54:50,best smg player
1097,You're the best bro,2022-08-11 18:54:50,You're the best bro
1098,I like the song in the background,2022-06-12 18:54:50,I like the song in the background
1099,Good game,2022-06-12 18:54:50,Good game
1100,Este tipo se mato a media partida xdxd,2022-07-12 18:54:50,Este tipo se mato a media partida xdxd
1101,42 kills they took 2 kills,2022-06-12 18:54:50,42 kills they took 2 kills
1102,I watched 2 times ,2022-07-12 18:54:50,I watched 2 times 
1103,😂,2022-08-11 18:54:50,😂
1104,This is getting ridiculous ,2022-06-12 18:54:50,This is getting ridiculous 
1105,"Tokyo Do you like these graphics or the graphics before blackout , I dont like these see how dull ISOLATED looks do you remember those days where you ran an adrenaline with level 3 vest , whereas on the other hand Blackout is so vibrant .",2022-06-12 18:54:50,"Tokyo Do you like these graphics or the graphics before blackout , I dont like these see how dull ISOLATED looks do you remember those days where you ran an adrenaline with level 3 vest , whereas on the other hand Blackout is so vibrant ."
1106,10:32,2022-06-12 18:54:50,10:32
1107,Help me step brother I'm stuck..lol... Tokyo be watching too much porn lol,2022-06-12 18:54:50,Help me step brother I'm stuck..lol... Tokyo be watching too much porn lol
1108,Lot of kills,2022-06-12 18:54:50,Lot of kills
1109,Good game Tokyo ,2022-06-12 18:54:50,Good game Tokyo 
1110,GG,2022-07-12 18:54:50,GG
1111,80% nobs killed,2022-06-12 18:54:50,80% nobs killed
1112,Where r u from bro? Because u have 2 accents korean accent and india accent,2022-07-12 18:54:50,Where r u from bro? Because u have 2 accents korean accent and india accent
1113,Backward slide ,2022-09-10 18:54:50,Backward slide 
1114,Insane,2022-06-12 18:54:50,Insane
1115,nice,2022-06-12 18:54:50,nice
1116,This man is not cracked this man is all drugs by him self wtf bro,2022-06-12 18:54:50,This man is not cracked this man is all drugs by him self wtf bro
1117,what the fuvk are you doing man you make me wow wow wow shotgun is wow.,2022-07-12 18:54:50,what the fuvk are you doing man you make me wow wow wow shotgun is wow.
1118,Next Level Bro I liked,2022-06-12 18:54:50,Next Level Bro I liked
1119,Nice,2022-06-12 18:54:50,Nice
1120,Kardes turkce konuşsan daha cok abune olurdu sana,2022-06-12 18:54:50,Kardes turkce konuşsan daha cok abune olurdu sana
1121,Zaten hepimiz seni beyeniyoruz kanka abune olduk sana peki neden turkce konuwmuyon turkce konuwsan daha cok beyen olurdu bence yabanci dilde konuwuyon diye cok turk bilemiyo .yinede iyi şanslar,2022-06-12 18:54:50,Zaten hepimiz seni beyeniyoruz kanka abune olduk sana peki neden turkce konuwmuyon turkce konuwsan daha cok beyen olurdu bence yabanci dilde konuwuyon diye cok turk bilemiyo .yinede iyi şanslar
1122,OneFinger200ms lol,2022-06-12 18:54:50,OneFinger200ms lol
1123,So satisfying,2022-07-12 18:54:50,So satisfying
1124,Tokyo I played with you 5 times,2022-06-12 18:54:50,Tokyo I played with you 5 times
1125,Like,2022-06-12 18:54:50,Like
1126,it was cruel,2022-06-12 18:54:50,it was cruel
1127,Bro neden kadın karakter? Var mı bi esprisi?,2022-06-12 18:54:50,Bro neden kadın karakter? Var mı bi esprisi?
1128,Yes is good aimboot but u are clever u use it in hard movements,2022-11-08 18:54:50,Yes is good aimboot but u are clever u use it in hard movements
1129,Brother jajajaja. Saludos ThPotro,2022-10-29 18:54:50,Brother jajajaja. Saludos ThPotro
1130,Ni-,2022-06-12 18:54:50,Ni-
1131,EARLY GANG,2022-06-12 18:54:50,EARLY GANG
1132,👑,2022-06-12 18:54:50,👑
1133,Up bro,2022-09-10 18:54:50,Up bro
1134,You Too Fast Hand I Like... I Fast Hand To But Play Gusion MLBB ,2022-07-12 18:54:50,You Too Fast Hand I Like... I Fast Hand To But Play Gusion MLBB 
1135,hot Hot ,2022-06-12 18:54:50,hot Hot 
1136,Heat waves,2022-08-11 18:54:50,Heat waves
1137,پشمام,2022-06-12 18:54:50,پشمام
1138,Need Emulator gamers. Phone gamers 80% nobs...,2022-06-12 18:54:50,Need Emulator gamers. Phone gamers 80% nobs...
1139,💥,2022-06-12 18:54:50,💥
1140,🤔,2022-06-12 18:54:50,🤔
1141,👏,2022-06-12 18:54:50,👏
1142,Big fan bro ,2022-08-11 18:54:50,Big fan bro 
1143,You good as fuck,2022-10-10 18:54:50,You good as fuck
1144,:O,2022-06-12 18:54:50,:O
1145,❤,2022-06-12 18:54:50,❤
1146,❤,2022-06-12 18:54:50,❤
1147,im literally a bot ,2022-07-12 18:54:50,im literally a bot 
1148,Bom,2022-06-12 18:54:50,Bom
1149,only for the squirrel,2022-07-12 18:54:50,only for the squirrel
1150,Mac or fenec ?,2022-06-12 18:54:50,Mac or fenec ?
1151,Nice bro,2022-07-12 18:54:50,Nice bro
1152,there is no chance to approve it because most of the players play on the phone and you with a tablet have an advantage with the phone you will not be so good,2022-06-12 18:54:50,there is no chance to approve it because most of the players play on the phone and you with a tablet have an advantage with the phone you will not be so good
1153,♥,2022-06-12 18:54:50,♥
1154,Hiiiiiii YouTube!,2022-06-12 18:54:50,Hiiiiiii YouTube!
1155,Are you crazy men,2022-07-12 18:54:50,Are you crazy men
1156,Amazing,2022-07-12 18:54:50,Amazing
1157,Escopetas nerf,2022-07-12 18:54:50,Escopetas nerf
1158,artık dış minnakların dilinde konuşuyorsun neden acaba kardeşim,2022-06-12 18:54:50,artık dış minnakların dilinde konuşuyorsun neden acaba kardeşim
1159,Tokyo nice player 1 frist bro,2022-08-11 18:54:50,Tokyo nice player 1 frist bro
1160,BEST BRO,2022-07-12 18:54:50,BEST BRO
1161,gg,2022-06-12 18:54:50,gg
1162,Bro i love you,2022-06-12 18:54:50,Bro i love you
1163,Nta no9ch ,2022-06-12 18:54:50,Nta no9ch 
1164,Gg,2022-07-12 18:54:50,Gg
1165,"Thise players are playing to enjoy the game not like you who played for money and views,you are not supposed to be there,look for pro players around the world.this game is unfair to every players",2022-07-12 18:54:50,"Thise players are playing to enjoy the game not like you who played for money and views,you are not supposed to be there,look for pro players around the world.this game is unfair to every players"
1166,GG,2022-09-10 18:54:50,GG
1167,olum ne diyon lojik mojik anlıcamız dilden konuş,2022-06-12 18:54:50,olum ne diyon lojik mojik anlıcamız dilden konuş
1168,9:22,2022-06-12 18:54:50,9:22
1169,Nice,2022-07-12 18:54:50,Nice
1170,NICE,2022-07-12 18:54:50,NICE
1171,Nice,2022-08-11 18:54:50,Nice
1172,Ты первый,2022-06-12 18:54:50,Ты первый
1173,How??????????,2022-07-12 18:54:50,How??????????
1174,can you beat oopssorrygaming plsss that asian is arrogant(im also asian),2022-09-10 18:54:50,can you beat oopssorrygaming plsss that asian is arrogant(im also asian)
1175,Hi,2022-06-12 18:54:50,Hi
1176,Is not suppose to be a mobile game not a iPad game ,2022-07-12 18:54:50,Is not suppose to be a mobile game not a iPad game 
1177,OmG,2022-07-12 18:54:50,OmG
1178,Toke,2022-06-12 18:54:50,Toke
1179,Hi YouTube,2022-06-12 18:54:50,Hi YouTube
1180,U r mad ,2022-07-12 18:54:50,U r mad 
1181,42*,2022-06-12 18:54:50,42*
1182,Why use a girl?,2022-07-12 18:54:50,Why use a girl?
1183,Atach hs??,2022-06-12 18:54:50,Atach hs??
1184,Hud reveal?,2022-06-12 18:54:50,Hud reveal?
